"Gene","Gene_length","Transcript","Exon","intron_length","exon_length","TPE"
"ENSMUSG00000026097.10",13214,1,4,11305,1910,0.25
"ENSMUSG00000100679.2",20924,1,3,20140,785,0.333333333333333
"ENSMUSG00000026096.15",12719,2,10,18971,4151,0.2
"ENSMUSG00000099913.2",27160,1,7,24019,3142,0.142857142857143
"ENSMUSG00000026095.16",8135,2,4,12819,3425,0.5
"ENSMUSG00000117809.2",4140,1,2,3841,300,0.5
"ENSMUSG00000096141.3",309778,1,66,297511,12245,0.0151515151515152
"ENSMUSG00000026094.15",29718,1,8,26426,3293,0.125
"ENSMUSG00000042807.16",388292,3,32,1015982,23566,0.09375
"ENSMUSG00000025983.12",118044,2,30,150749,5913,0.0666666666666667
"ENSMUSG00000041303.8",42967,1,18,38386,4582,0.0555555555555556
"ENSMUSG00000109809.2",13359,1,6,12535,825,0.166666666666667
"ENSMUSG00000073678.5",84690,1,27,74106,10583,0.037037037037037
"ENSMUSG00000052331.15",281047,2,30,549762,12332,0.0666666666666667
"ENSMUSG00000025982.14",42312,1,25,36118,6195,0.04
"ENSMUSG00000025981.14",19932,2,6,36550,2567,0.333333333333333
"ENSMUSG00000025980.15",10408,1,12,7767,2423,0.0833333333333333
"ENSMUSG00000073676.5",3175,1,4,2402,774,0.25
"ENSMUSG00000025979.14",23668,2,9,41721,4656,0.222222222222222
"ENSMUSG00000025978.15",56623,2,10,76067,5689,0.2
"ENSMUSG00000046994.10",11293,1,1,0,11294,1
"ENSMUSG00000025977.16",114811,3,13,140476,2646,0.230769230769231
"ENSMUSG00000038349.11",348364,1,6,341785,6580,0.166666666666667
"ENSMUSG00000045336.6",1391,1,1,0,1392,1
"ENSMUSG00000038331.16",184669,3,15,515504,16776,0.2
"ENSMUSG00000038323.4",7803,1,2,4796,3008,0.5
"ENSMUSG00000048495.17",18864,1,8,17018,1847,0.125
"ENSMUSG00000025971.7",11625,1,5,8086,3540,0.2
"ENSMUSG00000038305.16",174232,5,20,779015,12956,0.25
"ENSMUSG00000054770.17",63855,2,9,25239,4626,0.222222222222222
"ENSMUSG00000026039.10",29928,1,9,24990,4939,0.111111111111111
"ENSMUSG00000063558.5",76482,1,35,72060,4423,0.0285714285714286
"ENSMUSG00000064294.13",87568,2,37,107326,6174,0.0540540540540541
"ENSMUSG00000038242.13",58200,1,35,53228,4973,0.0285714285714286
"ENSMUSG00000079554.3",101933,1,36,96163,5771,0.0277777777777778
"ENSMUSG00000051223.15",14455,2,14,20750,5368,0.142857142857143
"ENSMUSG00000026034.18",13877,1,13,10271,1796,0.0769230769230769
"ENSMUSG00000026035.16",14492,4,12,50483,4467,0.333333333333333
"ENSMUSG00000026036.18",36665,3,11,61457,8035,0.272727272727273
"ENSMUSG00000026037.15",42338,2,20,74404,5148,0.1
"ENSMUSG00000038174.15",63517,3,17,164222,15651,0.176470588235294
"ENSMUSG00000026032.9",9580,1,3,8818,763,0.333333333333333
"ENSMUSG00000047528.14",49086,3,19,116833,4411,0.157894736842105
"ENSMUSG00000026031.16",47376,4,19,138018,13516,0.210526315789474
"ENSMUSG00000026029.15",52129,4,15,184038,7979,0.266666666666667
"ENSMUSG00000026028.13",72981,2,18,106991,8825,0.111111111111111
"ENSMUSG00000026027.14",22193,2,13,35877,4308,0.153846153846154
"ENSMUSG00000072295.8",97784,2,21,228436,11515,0.0952380952380952
"ENSMUSG00000038079.15",19818,3,18,52962,5225,0.166666666666667
"ENSMUSG00000079550.10",42454,5,32,187339,11771,0.15625
"ENSMUSG00000026024.15",74305,2,36,135621,11721,0.0555555555555556
"ENSMUSG00000026023.17",96087,2,16,187966,3585,0.125
"ENSMUSG00000041075.9",4531,1,1,0,4532,1
"ENSMUSG00000047361.17",120153,1,20,114651,3595,0.05
"ENSMUSG00000026021.16",84276,2,7,60450,1747,0.285714285714286
"ENSMUSG00000026020.10",34073,2,17,49350,11220,0.117647058823529
"ENSMUSG00000067336.7",115614,1,13,102716,12899,0.0769230769230769
"ENSMUSG00000041040.13",72340,1,8,66809,5532,0.125
"ENSMUSG00000026018.13",60694,3,17,136789,8385,0.176470588235294
"ENSMUSG00000026019.16",28860,3,17,55068,16113,0.176470588235294
"ENSMUSG00000026017.14",55706,3,20,124236,9722,0.15
"ENSMUSG00000073664.12",157729,1,55,141999,15731,0.0181818181818182
"ENSMUSG00000049439.14",44737,1,13,42515,2223,0.0769230769230769
"ENSMUSG00000026782.16",71539,5,21,329604,17935,0.238095238095238
"ENSMUSG00000026014.16",84812,3,20,229438,14674,0.15
"ENSMUSG00000026012.3",56559,1,4,22655,4347,0.25
"ENSMUSG00000026011.14",28832,2,6,9860,2547,0.333333333333333
"ENSMUSG00000026009.15",22393,2,6,36214,4051,0.333333333333333
"ENSMUSG00000052062.15",1003460,3,25,2985690,19494,0.12
"ENSMUSG00000025969.16",115410,4,21,612823,36880,0.19047619047619
"ENSMUSG00000040865.16",156249,2,14,159159,40642,0.142857142857143
"ENSMUSG00000025968.17",33237,2,21,60974,5251,0.0952380952380952
"ENSMUSG00000025967.17",3661,2,8,3569,2620,0.25
"ENSMUSG00000046856.14",31852,1,3,29913,1940,0.333333333333333
"ENSMUSG00000027520.17",41311,2,9,69198,37264,0.222222222222222
"ENSMUSG00000025964.16",150385,3,29,431959,15191,0.103448275862069
"ENSMUSG00000115378.2",4851,1,2,3747,1105,0.5
"ENSMUSG00000069085.6",64076,1,15,61650,2427,0.0666666666666667
"ENSMUSG00000025963.6",31499,1,11,29781,1719,0.0909090909090909
"ENSMUSG00000025962.16",24041,1,12,19556,4486,0.0833333333333333
"ENSMUSG00000025961.2",14360,1,3,12603,1758,0.333333333333333
"ENSMUSG00000025959.14",92835,2,7,162463,9139,0.285714285714286
"ENSMUSG00000025958.15",71903,6,19,361253,18744,0.315789473684211
"ENSMUSG00000025956.11",10769,2,6,16763,4696,0.333333333333333
"ENSMUSG00000070871.11",35189,3,15,94901,7710,0.2
"ENSMUSG00000045005.10",7193,2,4,665,9810,0.5
"ENSMUSG00000051344.14",170841,1,8,159142,8562,0.125
"ENSMUSG00000025955.14",20070,2,11,36741,3389,0.181818181818182
"ENSMUSG00000070870.7",2595,2,5,3838,1321,0.4
"ENSMUSG00000067299.12",1580,1,3,968,613,0.333333333333333
"ENSMUSG00000025952.16",2164,2,5,2761,1395,0.4
"ENSMUSG00000073658.5",2069,1,3,1436,634,0.333333333333333
"ENSMUSG00000044429.9",2984,1,3,2360,625,0.333333333333333
"ENSMUSG00000100846.2",18939,1,6,18207,733,0.166666666666667
"ENSMUSG00000044816.11",17929,2,7,30475,3336,0.285714285714286
"ENSMUSG00000025950.17",27884,2,11,43843,4585,0.181818181818182
"ENSMUSG00000025949.17",92012,2,45,161379,17878,0.0444444444444444
"ENSMUSG00000025946.14",107188,1,13,75574,2414,0.0769230769230769
"ENSMUSG00000025945.12",1787,2,5,2336,1221,0.4
"ENSMUSG00000015222.19",267310,8,30,1222477,43680,0.266666666666667
"ENSMUSG00000055567.19",230781,2,67,434542,23390,0.0298507462686567
"ENSMUSG00000026005.16",18974,1,8,32545,5405,0.125
"ENSMUSG00000026004.16",98314,2,16,173404,6801,0.125
"ENSMUSG00000026003.6",32438,1,11,30523,1916,0.0909090909090909
"ENSMUSG00000061816.16",21109,4,13,49137,3380,0.307692307692308
"ENSMUSG00000026000.17",38355,3,13,102049,10116,0.230769230769231
"ENSMUSG00000025991.9",108233,1,38,102679,5555,0.0263157894736842
"ENSMUSG00000062209.16",1075873,2,29,2127626,23819,0.0689655172413793
"ENSMUSG00000025997.14",156031,4,16,869648,17644,0.25
"ENSMUSG00000053153.15",898162,2,19,991711,5685,0.105263157894737
"ENSMUSG00000045648.16",159682,3,11,465558,10173,0.272727272727273
"ENSMUSG00000026196.8",75648,1,11,69990,5659,0.0909090909090909
"ENSMUSG00000050296.15",172634,1,53,163498,9137,0.0188679245283019
"ENSMUSG00000026192.14",22481,1,16,19637,2845,0.0625
"ENSMUSG00000026193.16",67680,6,54,427664,56254,0.111111111111111
"ENSMUSG00000039395.9",52865,1,5,50582,2284,0.2
"ENSMUSG00000026189.14",25147,2,10,40289,2118,0.2
"ENSMUSG00000026188.12",18735,1,3,15808,2928,0.333333333333333
"ENSMUSG00000026187.10",87525,1,21,84977,2549,0.0476190476190476
"ENSMUSG00000039372.6",109818,1,4,105266,4553,0.25
"ENSMUSG00000039354.17",49883,2,18,93351,6053,0.111111111111111
"ENSMUSG00000039342.6",57599,3,28,159675,13066,0.107142857142857
"ENSMUSG00000046330.11",2523,1,4,1966,558,0.25
"ENSMUSG00000039323.19",27971,2,6,52820,2298,0.333333333333333
"ENSMUSG00000026185.9",16952,1,4,10947,6006,0.25
"ENSMUSG00000026182.7",835,1,2,399,437,0.5
"ENSMUSG00000055322.17",214218,6,43,974087,44136,0.13953488372093
"ENSMUSG00000061815.12",22682,2,15,40731,4147,0.133333333333333
"ENSMUSG00000026180.9",7257,2,5,8612,5266,0.4
"ENSMUSG00000048480.6",2846,2,3,1722,2576,0.666666666666667
"ENSMUSG00000006304.15",32125,3,16,90467,4156,0.1875
"ENSMUSG00000064272.4",1074,1,1,0,1075,1
"ENSMUSG00000006299.14",4898,2,14,6161,3573,0.142857142857143
"ENSMUSG00000026179.15",68764,4,17,151292,9590,0.235294117647059
"ENSMUSG00000006301.18",17375,2,14,18879,13389,0.142857142857143
"ENSMUSG00000073650.9",7213,2,12,9956,3967,0.166666666666667
"ENSMUSG00000026177.12",10867,2,17,17213,4208,0.117647058823529
"ENSMUSG00000026176.14",5776,1,7,2901,2876,0.142857142857143
"ENSMUSG00000026175.13",26183,1,20,23060,3124,0.05
"ENSMUSG00000033364.14",108773,2,28,164763,12085,0.0714285714285714
"ENSMUSG00000026174.10",24784,1,8,21517,3268,0.125
"ENSMUSG00000026173.16",24906,3,24,99989,17589,0.125
"ENSMUSG00000026135.18",23119,3,15,46437,19709,0.2
"ENSMUSG00000026172.13",4154,3,12,6739,5057,0.25
"ENSMUSG00000026171.13",7649,2,13,12345,2930,0.153846153846154
"ENSMUSG00000033276.19",35449,3,31,63928,9939,0.0967741935483871
"ENSMUSG00000033257.15",41985,2,21,47285,13781,0.0952380952380952
"ENSMUSG00000026170.7",24318,1,9,22427,1892,0.111111111111111
"ENSMUSG00000006542.14",10299,3,17,20248,7176,0.176470588235294
"ENSMUSG00000033227.8",13430,1,4,11360,2071,0.25
"ENSMUSG00000026167.15",12663,1,4,10196,2468,0.25
"ENSMUSG00000090071.5",2798,1,1,0,2799,1
"ENSMUSG00000055197.5",3910,2,6,4810,2418,0.333333333333333
"ENSMUSG00000006546.4",3209,1,5,2490,720,0.2
"ENSMUSG00000047021.15",33528,1,33,27802,5727,0.0303030303030303
"ENSMUSG00000006538.13",6357,1,3,3890,2468,0.333333333333333
"ENSMUSG00000026162.9",95546,1,8,93961,1586,0.125
"ENSMUSG00000026205.9",8349,1,12,6291,2059,0.0833333333333333
"ENSMUSG00000033159.15",8157,3,14,12776,8160,0.214285714285714
"ENSMUSG00000049339.17",5135,2,12,5245,4999,0.166666666666667
"ENSMUSG00000026197.13",2983,2,12,3433,2522,0.166666666666667
"ENSMUSG00000026198.16",8675,1,19,5710,2966,0.0526315789473684
"ENSMUSG00000033124.17",11336,3,17,21542,11915,0.176470588235294
"ENSMUSG00000026199.18",7236,2,16,6665,3906,0.125
"ENSMUSG00000026200.14",12577,1,17,9093,2339,0.0588235294117647
"ENSMUSG00000026201.13",4768,1,8,1893,2876,0.125
"ENSMUSG00000026202.14",5637,1,4,2227,2840,0.25
"ENSMUSG00000096094.3",12007,2,5,14176,1219,0.4
"ENSMUSG00000026203.17",9286,5,17,42598,10928,0.294117647058824
"ENSMUSG00000026204.16",17475,1,23,13633,3554,0.0434782608695652
"ENSMUSG00000033061.16",6216,1,6,5469,748,0.166666666666667
"ENSMUSG00000026209.16",10094,5,21,34262,11264,0.238095238095238
"ENSMUSG00000026208.10",8250,1,9,5223,3028,0.111111111111111
"ENSMUSG00000026207.17",57023,6,52,76080,18276,0.115384615384615
"ENSMUSG00000033021.17",7249,2,16,11245,3231,0.125
"ENSMUSG00000033007.16",23907,2,12,42419,5131,0.166666666666667
"ENSMUSG00000032997.17",4738,2,7,3479,5957,0.285714285714286
"ENSMUSG00000026211.19",27142,2,21,21505,9058,0.0952380952380952
"ENSMUSG00000051703.15",6173,2,7,7647,4641,0.285714285714286
"ENSMUSG00000032968.5",3289,1,2,1815,1475,0.5
"ENSMUSG00000026213.16",15806,2,27,22577,8611,0.0740740740740741
"ENSMUSG00000006576.17",15906,1,23,8725,7182,0.0434782608695652
"ENSMUSG00000026235.15",147903,2,19,279914,9940,0.105263157894737
"ENSMUSG00000004872.16",95867,2,11,184496,6941,0.181818181818182
"ENSMUSG00000032908.10",109944,1,5,105943,4002,0.2
"ENSMUSG00000026245.17",70922,2,20,130728,3987,0.1
"ENSMUSG00000090486.3",15132,1,2,12070,3063,0.5
"ENSMUSG00000012187.14",27182,2,9,50904,2406,0.222222222222222
