ENSMUSG00000089699.2	ENSMUST00000161581.2
ENSMUSG00000101968.7	ENSMUST00000188793.2
ENSMUSG00000101968.7	ENSMUST00000185768.7
ENSMUSG00000101968.7	ENSMUST00000191122.2
ENSMUSG00000101968.7	ENSMUST00000188349.2
ENSMUSG00000101112.2	ENSMUST00000190578.2
ENSMUSG00000099877.7	ENSMUST00000190229.7
ENSMUSG00000099877.7	ENSMUST00000190487.2
ENSMUSG00000101812.2	ENSMUST00000186582.2
ENSMUSG00000100444.2	ENSMUST00000188155.2
ENSMUSG00000100444.2	ENSMUST00000189247.2
ENSMUSG00000100444.2	ENSMUST00000186453.2
ENSMUSG00000100429.2	ENSMUST00000189178.2
ENSMUSG00000100301.7	ENSMUST00000189514.2
ENSMUSG00000101344.2	ENSMUST00000188600.2
ENSMUSG00000101503.2	ENSMUST00000187908.2
ENSMUSG00000099931.2	ENSMUST00000186510.2
ENSMUSG00000099931.2	ENSMUST00000187941.2
ENSMUSG00000099472.2	ENSMUST00000188031.2
ENSMUSG00000089964.2	ENSMUST00000159627.2
ENSMUSG00000089653.2	ENSMUST00000160540.2
ENSMUSG00000099519.2	ENSMUST00000185727.2
ENSMUSG00000101840.2	ENSMUST00000191154.2
ENSMUSG00000100556.2	ENSMUST00000191531.2
ENSMUSG00000085653.8	ENSMUST00000152799.8
ENSMUSG00000086053.2	ENSMUST00000132100.2
ENSMUSG00000099996.2	ENSMUST00000188786.2
ENSMUSG00000100827.2	ENSMUST00000185857.2
ENSMUSG00000100553.7	ENSMUST00000189132.2
ENSMUSG00000100534.2	ENSMUST00000191156.2
ENSMUSG00000101849.2	ENSMUST00000189147.2
ENSMUSG00000102052.2	ENSMUST00000189245.2
ENSMUSG00000099561.2	ENSMUST00000188113.2
ENSMUSG00000099364.3	ENSMUST00000190504.3
ENSMUSG00000100562.2	ENSMUST00000186132.2
ENSMUSG00000099706.2	ENSMUST00000189296.2
ENSMUSG00000101324.2	ENSMUST00000186681.2
ENSMUSG00000099552.2	ENSMUST00000188074.2
ENSMUSG00000099552.2	ENSMUST00000185548.2
ENSMUSG00000101257.2	ENSMUST00000191452.2
ENSMUSG00000101722.2	ENSMUST00000187121.2
ENSMUSG00000101483.2	ENSMUST00000187497.2
ENSMUSG00000101483.2	ENSMUST00000189139.2
ENSMUSG00000100786.2	ENSMUST00000187929.2
ENSMUSG00000097564.3	ENSMUST00000181720.2
ENSMUSG00000097564.3	ENSMUST00000186858.2
ENSMUSG00000101450.2	ENSMUST00000185536.2
ENSMUSG00000100170.2	ENSMUST00000186334.2
ENSMUSG00000100580.7	ENSMUST00000189405.7
ENSMUSG00000100580.7	ENSMUST00000190615.2
ENSMUSG00000073631.3	ENSMUST00000238757.2
ENSMUSG00000072109.12	ENSMUST00000093501.10
ENSMUSG00000090252.2	ENSMUST00000162347.2
ENSMUSG00000091199.11	ENSMUST00000162276.10
ENSMUSG00000089652.2	ENSMUST00000161923.2
ENSMUSG00000089714.2	ENSMUST00000161449.2
ENSMUSG00000090103.2	ENSMUST00000162784.2
ENSMUSG00000073628.6	ENSMUST00000161763.2
ENSMUSG00000073628.6	ENSMUST00000113396.3
ENSMUSG00000090246.2	ENSMUST00000161540.2
ENSMUSG00000100217.2	ENSMUST00000187270.2
ENSMUSG00000099767.2	ENSMUST00000190367.2
ENSMUSG00000100108.2	ENSMUST00000186560.2
ENSMUSG00000087538.2	ENSMUST00000126385.2
ENSMUSG00000099644.2	ENSMUST00000187004.2
ENSMUSG00000073627.8	ENSMUST00000137643.2
ENSMUSG00000100768.2	ENSMUST00000186337.2
ENSMUSG00000099401.2	ENSMUST00000185304.2
ENSMUSG00000101625.2	ENSMUST00000186823.2
ENSMUSG00000099839.2	ENSMUST00000187198.2
ENSMUSG00000089821.2	ENSMUST00000138844.3
ENSMUSG00000101942.2	ENSMUST00000187511.2
ENSMUSG00000092220.2	ENSMUST00000174821.2
ENSMUSG00000085420.2	ENSMUST00000147594.2
ENSMUSG00000099553.2	ENSMUST00000190783.2
ENSMUSG00000100908.2	ENSMUST00000186556.2
ENSMUSG00000100798.2	ENSMUST00000189394.2
ENSMUSG00000100367.2	ENSMUST00000186042.2
ENSMUSG00000097398.3	ENSMUST00000181016.3
ENSMUSG00000099848.2	ENSMUST00000185425.2
ENSMUSG00000099378.2	ENSMUST00000186180.2
ENSMUSG00000101288.2	ENSMUST00000190308.2
ENSMUSG00000099938.2	ENSMUST00000186258.2
ENSMUSG00000101662.2	ENSMUST00000191576.2
ENSMUSG00000102009.7	ENSMUST00000186098.7
ENSMUSG00000102009.7	ENSMUST00000187295.2
ENSMUSG00000092627.3	ENSMUST00000173856.2
ENSMUSG00000100850.2	ENSMUST00000190254.2
ENSMUSG00000101951.2	ENSMUST00000187649.2
ENSMUSG00000101028.2	ENSMUST00000188640.2
ENSMUSG00000101997.2	ENSMUST00000187630.2
ENSMUSG00000056128.4	ENSMUST00000070048.4
ENSMUSG00000100791.2	ENSMUST00000187127.2
ENSMUSG00000090322.2	ENSMUST00000171768.2
ENSMUSG00000100253.2	ENSMUST00000188956.2
ENSMUSG00000100151.2	ENSMUST00000187902.2
ENSMUSG00000101705.2	ENSMUST00000188800.2
ENSMUSG00000100980.2	ENSMUST00000187564.2
ENSMUSG00000101414.2	ENSMUST00000188329.2
ENSMUSG00000101265.2	ENSMUST00000187370.2
ENSMUSG00000097001.2	ENSMUST00000181755.2
ENSMUSG00000100546.2	ENSMUST00000188188.2
ENSMUSG00000099665.2	ENSMUST00000187845.2
ENSMUSG00000100781.2	ENSMUST00000189080.2
ENSMUSG00000101995.2	ENSMUST00000188589.2
ENSMUSG00000097251.3	ENSMUST00000181575.3
ENSMUSG00000100632.2	ENSMUST00000191563.2
ENSMUSG00000101378.2	ENSMUST00000191586.2
ENSMUSG00000101172.2	ENSMUST00000188069.2
ENSMUSG00000100927.2	ENSMUST00000190971.2
ENSMUSG00000101952.2	ENSMUST00000188846.2
ENSMUSG00000100518.2	ENSMUST00000190754.2
ENSMUSG00000100518.2	ENSMUST00000185490.2
ENSMUSG00000100777.2	ENSMUST00000187352.2
ENSMUSG00000100062.2	ENSMUST00000190901.2
ENSMUSG00000100336.2	ENSMUST00000187961.2
ENSMUSG00000100589.2	ENSMUST00000189056.2
ENSMUSG00000097814.6	ENSMUST00000188631.5
ENSMUSG00000097814.6	ENSMUST00000181489.3
ENSMUSG00000100454.2	ENSMUST00000188810.2
ENSMUSG00000089706.8	ENSMUST00000159324.8
ENSMUSG00000089706.8	ENSMUST00000161661.2
ENSMUSG00000089706.8	ENSMUST00000159353.2
ENSMUSG00000100182.7	ENSMUST00000191060.7
ENSMUSG00000100182.7	ENSMUST00000186473.2
ENSMUSG00000100711.2	ENSMUST00000189232.2
ENSMUSG00000100009.7	ENSMUST00000191042.2
ENSMUSG00000100009.7	ENSMUST00000191409.7
ENSMUSG00000100009.7	ENSMUST00000190991.2
ENSMUSG00000100684.2	ENSMUST00000187932.2
ENSMUSG00000099375.2	ENSMUST00000186885.2
ENSMUSG00000089866.2	ENSMUST00000159213.2
ENSMUSG00000099669.2	ENSMUST00000187882.2
ENSMUSG00000097482.3	ENSMUST00000181383.3
ENSMUSG00000101214.2	ENSMUST00000188743.2
ENSMUSG00000100672.2	ENSMUST00000190242.2
ENSMUSG00000099843.2	ENSMUST00000185535.2
ENSMUSG00000099843.2	ENSMUST00000188519.2
ENSMUSG00000101583.2	ENSMUST00000190105.2
ENSMUSG00000100247.2	ENSMUST00000187918.2
ENSMUSG00000054006.15	ENSMUST00000144260.8
ENSMUSG00000054006.15	ENSMUST00000149909.2
ENSMUSG00000087210.2	ENSMUST00000147509.2
ENSMUSG00000086161.2	ENSMUST00000153774.2
ENSMUSG00000100457.7	ENSMUST00000189845.7
ENSMUSG00000100457.7	ENSMUST00000186875.7
ENSMUSG00000100457.7	ENSMUST00000189497.2
ENSMUSG00000101253.2	ENSMUST00000189363.2
ENSMUSG00000101453.2	ENSMUST00000190085.2
ENSMUSG00000097648.2	ENSMUST00000180837.2
ENSMUSG00000107979.2	ENSMUST00000204773.2
ENSMUSG00000099936.2	ENSMUST00000190194.2
ENSMUSG00000107722.2	ENSMUST00000203191.2
ENSMUSG00000097408.2	ENSMUST00000181458.2
ENSMUSG00000099860.2	ENSMUST00000189894.2
ENSMUSG00000101179.2	ENSMUST00000186697.2
ENSMUSG00000101179.2	ENSMUST00000186504.2
ENSMUSG00000098447.3	ENSMUST00000185095.3
ENSMUSG00000101731.2	ENSMUST00000188909.2
ENSMUSG00000101224.2	ENSMUST00000187956.2
ENSMUSG00000101275.2	ENSMUST00000186237.2
ENSMUSG00000099957.5	ENSMUST00000186982.3
ENSMUSG00000101386.2	ENSMUST00000188147.2
ENSMUSG00000101922.2	ENSMUST00000189213.2
ENSMUSG00000099336.2	ENSMUST00000189555.2
ENSMUSG00000100979.2	ENSMUST00000186695.2
ENSMUSG00000097881.8	ENSMUST00000181433.8
ENSMUSG00000097881.8	ENSMUST00000185678.2
ENSMUSG00000097881.8	ENSMUST00000181183.3
ENSMUSG00000101700.2	ENSMUST00000191007.2
ENSMUSG00000101791.2	ENSMUST00000190690.2
ENSMUSG00000085857.2	ENSMUST00000152863.2
ENSMUSG00000099960.2	ENSMUST00000185679.2
ENSMUSG00000099574.2	ENSMUST00000187796.2
ENSMUSG00000102063.2	ENSMUST00000186830.2
ENSMUSG00000101600.2	ENSMUST00000186724.2
ENSMUSG00000102014.2	ENSMUST00000185310.2
ENSMUSG00000099760.2	ENSMUST00000186230.2
ENSMUSG00000097283.2	ENSMUST00000181951.2
ENSMUSG00000086633.2	ENSMUST00000155992.2
ENSMUSG00000087691.2	ENSMUST00000143266.2
ENSMUSG00000086825.2	ENSMUST00000130486.2
ENSMUSG00000085526.2	ENSMUST00000125681.2
ENSMUSG00000099556.2	ENSMUST00000188068.2
ENSMUSG00000100106.2	ENSMUST00000189150.2
ENSMUSG00000086706.8	ENSMUST00000125056.8
ENSMUSG00000086706.8	ENSMUST00000136015.2
ENSMUSG00000102027.2	ENSMUST00000188115.2
ENSMUSG00000102055.2	ENSMUST00000186240.2
ENSMUSG00000101778.2	ENSMUST00000191427.2
ENSMUSG00000100037.2	ENSMUST00000191034.2
ENSMUSG00000099874.2	ENSMUST00000187926.2
ENSMUSG00000101549.2	ENSMUST00000185761.2
ENSMUSG00000100658.2	ENSMUST00000189288.2
ENSMUSG00000090079.2	ENSMUST00000159257.2
ENSMUSG00000097760.3	ENSMUST00000180835.2
ENSMUSG00000101126.2	ENSMUST00000189499.2
ENSMUSG00000101102.2	ENSMUST00000186515.2
ENSMUSG00000101693.2	ENSMUST00000191207.2
ENSMUSG00000100830.2	ENSMUST00000190927.2
ENSMUSG00000090208.2	ENSMUST00000160564.2
ENSMUSG00000100987.2	ENSMUST00000188504.2
ENSMUSG00000101061.2	ENSMUST00000188474.2
ENSMUSG00000097435.2	ENSMUST00000181197.2
ENSMUSG00000101168.2	ENSMUST00000188123.2
ENSMUSG00000097988.2	ENSMUST00000182275.2
ENSMUSG00000085311.2	ENSMUST00000146700.2
ENSMUSG00000097680.2	ENSMUST00000180981.2
ENSMUSG00000100620.2	ENSMUST00000187450.2
ENSMUSG00000054412.6	ENSMUST00000067468.6
ENSMUSG00000102717.2	ENSMUST00000194155.2
ENSMUSG00000086264.10	ENSMUST00000134998.8
ENSMUSG00000097315.2	ENSMUST00000180496.2
ENSMUSG00000103594.2	ENSMUST00000194339.2
ENSMUSG00000102941.2	ENSMUST00000193939.2
ENSMUSG00000097433.2	ENSMUST00000181385.2
ENSMUSG00000097403.3	ENSMUST00000181746.2
ENSMUSG00000104414.2	ENSMUST00000194018.2
ENSMUSG00000104509.2	ENSMUST00000193724.2
ENSMUSG00000104366.2	ENSMUST00000193674.2
ENSMUSG00000097229.2	ENSMUST00000180797.2
ENSMUSG00000097113.8	ENSMUST00000180495.8
ENSMUSG00000097113.8	ENSMUST00000181491.2
ENSMUSG00000097113.8	ENSMUST00000181524.8
ENSMUSG00000097448.2	ENSMUST00000181274.2
ENSMUSG00000098243.4	ENSMUST00000182127.2
ENSMUSG00000098045.2	ENSMUST00000182971.2
ENSMUSG00000098145.2	ENSMUST00000182424.2
ENSMUSG00000102142.2	ENSMUST00000194874.2
ENSMUSG00000098206.2	ENSMUST00000182158.2
ENSMUSG00000099459.3	ENSMUST00000187489.3
ENSMUSG00000099510.3	ENSMUST00000188729.3
ENSMUSG00000100459.7	ENSMUST00000190707.7
ENSMUSG00000099808.3	ENSMUST00000186955.3
ENSMUSG00000104436.2	ENSMUST00000194246.2
ENSMUSG00000104900.2	ENSMUST00000200494.2
ENSMUSG00000103844.2	ENSMUST00000192824.2
ENSMUSG00000102661.2	ENSMUST00000193363.2
ENSMUSG00000102368.2	ENSMUST00000193820.2
ENSMUSG00000100455.2	ENSMUST00000190224.2
ENSMUSG00000099964.7	ENSMUST00000186665.7
ENSMUSG00000087627.3	ENSMUST00000126596.2
ENSMUSG00000085822.3	ENSMUST00000123231.3
ENSMUSG00000099629.2	ENSMUST00000188273.2
ENSMUSG00000102074.2	ENSMUST00000191166.2
ENSMUSG00000101011.7	ENSMUST00000186355.2
ENSMUSG00000097028.3	ENSMUST00000181915.2
ENSMUSG00000097754.2	ENSMUST00000181308.2
ENSMUSG00000099447.2	ENSMUST00000186460.2
ENSMUSG00000093650.3	ENSMUST00000177239.3
ENSMUSG00000099622.2	ENSMUST00000191173.2
ENSMUSG00000102095.2	ENSMUST00000188305.2
ENSMUSG00000100954.6	ENSMUST00000185848.2
ENSMUSG00000100954.6	ENSMUST00000186597.2
ENSMUSG00000100357.2	ENSMUST00000191460.2
ENSMUSG00000100594.2	ENSMUST00000186444.2
ENSMUSG00000100685.2	ENSMUST00000187716.2
ENSMUSG00000086145.2	ENSMUST00000139309.2
ENSMUSG00000099868.2	ENSMUST00000191482.2
ENSMUSG00000100394.2	ENSMUST00000185888.2
ENSMUSG00000099969.2	ENSMUST00000190117.2
ENSMUSG00000073538.11	ENSMUST00000097535.11
ENSMUSG00000073538.11	ENSMUST00000188717.2
ENSMUSG00000100945.2	ENSMUST00000187154.2
ENSMUSG00000100334.2	ENSMUST00000190663.2
ENSMUSG00000099568.2	ENSMUST00000191474.2
ENSMUSG00000100183.2	ENSMUST00000187415.2
ENSMUSG00000100014.2	ENSMUST00000185385.2
ENSMUSG00000101903.2	ENSMUST00000186055.2
ENSMUSG00000100502.2	ENSMUST00000188704.2
ENSMUSG00000100627.7	ENSMUST00000190485.2
ENSMUSG00000099933.2	ENSMUST00000189240.2
ENSMUSG00000100221.7	ENSMUST00000187189.7
ENSMUSG00000100221.7	ENSMUST00000190980.2
ENSMUSG00000101880.2	ENSMUST00000190720.2
ENSMUSG00000096950.3	ENSMUST00000181160.3
ENSMUSG00000103670.2	ENSMUST00000192162.2
ENSMUSG00000073535.6	ENSMUST00000097531.3
ENSMUSG00000102558.2	ENSMUST00000195048.2
ENSMUSG00000103705.2	ENSMUST00000195064.2
ENSMUSG00000101905.2	ENSMUST00000186765.2
ENSMUSG00000101768.2	ENSMUST00000190681.2
ENSMUSG00000087093.3	ENSMUST00000135147.3
ENSMUSG00000103971.2	ENSMUST00000192868.2
ENSMUSG00000047661.10	ENSMUST00000062159.9
ENSMUSG00000104014.2	ENSMUST00000195279.2
ENSMUSG00000073528.8	ENSMUST00000097514.8
