ENSMUSG00000051951.6	ENSMUST00000070533.5
ENSMUSG00000025920.20	ENSMUST00000131257.9
ENSMUSG00000025920.20	ENSMUST00000162007.8
ENSMUSG00000025920.20	ENSMUST00000149320.9
ENSMUSG00000025920.20	ENSMUST00000115359.10
ENSMUSG00000025920.20	ENSMUST00000145092.8
ENSMUSG00000025920.20	ENSMUST00000144138.4
ENSMUSG00000025939.20	ENSMUST00000182554.9
ENSMUSG00000025939.20	ENSMUST00000117146.9
ENSMUSG00000079658.10	ENSMUST00000188641.7
ENSMUSG00000079658.10	ENSMUST00000115352.10
ENSMUSG00000079658.10	ENSMUST00000186948.7
ENSMUSG00000079658.10	ENSMUST00000187910.7
ENSMUSG00000079658.10	ENSMUST00000185771.7
ENSMUSG00000025940.7	ENSMUST00000177501.2
ENSMUSG00000025940.7	ENSMUST00000065373.6
ENSMUSG00000025779.11	ENSMUST00000026881.11
ENSMUSG00000025779.11	ENSMUST00000190366.2
ENSMUSG00000042686.6	ENSMUST00000038382.5
ENSMUSG00000025777.9	ENSMUST00000026879.8
ENSMUSG00000067780.4	ENSMUST00000088476.4
ENSMUSG00000025776.14	ENSMUST00000159958.8
ENSMUSG00000025776.14	ENSMUST00000095075.5
ENSMUSG00000025774.15	ENSMUST00000026876.13
ENSMUSG00000025774.15	ENSMUST00000115340.8
ENSMUSG00000025774.15	ENSMUST00000115344.2
ENSMUSG00000073735.2	ENSMUST00000097818.2
ENSMUSG00000067773.7	ENSMUST00000088463.2
ENSMUSG00000067773.7	ENSMUST00000097817.4
ENSMUSG00000042596.8	ENSMUST00000037294.8
ENSMUSG00000025927.14	ENSMUST00000027059.11
ENSMUSG00000025927.14	ENSMUST00000187754.7
ENSMUSG00000025927.14	ENSMUST00000064976.6
ENSMUSG00000043760.17	ENSMUST00000088448.12
ENSMUSG00000025929.5	ENSMUST00000027061.5
ENSMUSG00000041872.10	ENSMUST00000039046.10
ENSMUSG00000041859.11	ENSMUST00000053266.11
ENSMUSG00000025931.16	ENSMUST00000189400.7
ENSMUSG00000025931.16	ENSMUST00000068880.14
ENSMUSG00000025931.16	ENSMUST00000167119.8
ENSMUSG00000025931.16	ENSMUST00000187651.2
ENSMUSG00000041809.6	ENSMUST00000038447.6
ENSMUSG00000041779.6	ENSMUST00000037998.6
ENSMUSG00000025933.16	ENSMUST00000027065.12
ENSMUSG00000025933.16	ENSMUST00000027064.8
ENSMUSG00000025934.16	ENSMUST00000027067.15
ENSMUSG00000025934.16	ENSMUST00000121676.8
ENSMUSG00000067750.4	ENSMUST00000088407.4
ENSMUSG00000041722.8	ENSMUST00000070223.6
ENSMUSG00000085079.4	ENSMUST00000147615.2
ENSMUSG00000028033.17	ENSMUST00000029667.13
ENSMUSG00000028033.17	ENSMUST00000115300.8
ENSMUSG00000028033.17	ENSMUST00000173058.8
ENSMUSG00000028033.17	ENSMUST00000173404.2
ENSMUSG00000041670.20	ENSMUST00000081544.14
ENSMUSG00000041670.20	ENSMUST00000097809.11
ENSMUSG00000041670.20	ENSMUST00000115273.10
ENSMUSG00000041670.20	ENSMUST00000164877.8
ENSMUSG00000041670.20	ENSMUST00000097808.9
ENSMUSG00000073730.3	ENSMUST00000073179.6
ENSMUSG00000026158.12	ENSMUST00000027343.6
ENSMUSG00000026156.9	ENSMUST00000144602.2
ENSMUSG00000026156.9	ENSMUST00000063663.6
ENSMUSG00000026156.9	ENSMUST00000140583.2
ENSMUSG00000026155.14	ENSMUST00000027339.14
ENSMUSG00000026155.14	ENSMUST00000129254.8
ENSMUSG00000026154.5	ENSMUST00000027338.4
ENSMUSG00000026153.16	ENSMUST00000187752.7
ENSMUSG00000026153.16	ENSMUST00000187369.7
ENSMUSG00000026153.16	ENSMUST00000027337.15
ENSMUSG00000026147.17	ENSMUST00000054588.15
ENSMUSG00000026147.17	ENSMUST00000088349.3
ENSMUSG00000026141.14	ENSMUST00000115244.9
ENSMUSG00000026141.14	ENSMUST00000051344.6
ENSMUSG00000073725.9	ENSMUST00000191471.7
ENSMUSG00000073725.9	ENSMUST00000186096.7
ENSMUSG00000073725.9	ENSMUST00000095062.10
ENSMUSG00000033569.18	ENSMUST00000126626.8
ENSMUSG00000033569.18	ENSMUST00000135518.8
ENSMUSG00000033569.18	ENSMUST00000151309.8
ENSMUSG00000033569.18	ENSMUST00000041838.7
ENSMUSG00000073722.4	ENSMUST00000097801.4
ENSMUSG00000048411.5	ENSMUST00000059937.5
ENSMUSG00000048874.16	ENSMUST00000186733.7
ENSMUSG00000048874.16	ENSMUST00000088310.10
ENSMUSG00000026064.17	ENSMUST00000232841.2
ENSMUSG00000117310.3	ENSMUST00000233506.2
ENSMUSG00000117310.3	ENSMUST00000027232.15
ENSMUSG00000117310.3	ENSMUST00000076587.6
ENSMUSG00000117310.3	ENSMUST00000238874.2
ENSMUSG00000117091.2	ENSMUST00000178317.4
ENSMUSG00000086727.9	ENSMUST00000233331.2
ENSMUSG00000086727.9	ENSMUST00000152491.4
ENSMUSG00000086727.9	ENSMUST00000187892.8
ENSMUSG00000050217.14	ENSMUST00000062560.14
ENSMUSG00000026063.5	ENSMUST00000027230.3
ENSMUSG00000026058.12	ENSMUST00000027226.12
ENSMUSG00000026058.12	ENSMUST00000189878.2
ENSMUSG00000026058.12	ENSMUST00000188257.7
ENSMUSG00000026058.12	ENSMUST00000185666.2
ENSMUSG00000091318.3	ENSMUST00000171322.3
ENSMUSG00000026134.12	ENSMUST00000027312.11
ENSMUSG00000004768.15	ENSMUST00000088287.10
ENSMUSG00000004768.15	ENSMUST00000115174.4
ENSMUSG00000042215.9	ENSMUST00000044691.9
ENSMUSG00000042215.9	ENSMUST00000187602.2
ENSMUSG00000042197.14	ENSMUST00000019861.13
ENSMUSG00000042197.14	ENSMUST00000044455.8
ENSMUSG00000042182.17	ENSMUST00000115161.8
ENSMUSG00000042182.17	ENSMUST00000129464.8
ENSMUSG00000042182.17	ENSMUST00000062289.11
ENSMUSG00000026131.21	ENSMUST00000183034.5
ENSMUSG00000026131.21	ENSMUST00000182697.8
ENSMUSG00000026131.21	ENSMUST00000182314.8
ENSMUSG00000026131.21	ENSMUST00000097786.10
ENSMUSG00000026131.21	ENSMUST00000115104.10
ENSMUSG00000026131.21	ENSMUST00000097785.10
ENSMUSG00000026131.21	ENSMUST00000183302.6
ENSMUSG00000026131.21	ENSMUST00000185269.7
ENSMUSG00000042111.10	ENSMUST00000042493.10
ENSMUSG00000026127.14	ENSMUST00000027303.14
ENSMUSG00000026126.16	ENSMUST00000027302.14
ENSMUSG00000026126.16	ENSMUST00000188972.3
ENSMUSG00000026125.10	ENSMUST00000027299.10
ENSMUSG00000026124.5	ENSMUST00000027298.5
ENSMUSG00000037529.14	ENSMUST00000047840.9
ENSMUSG00000045174.11	ENSMUST00000052670.11
ENSMUSG00000037509.22	ENSMUST00000159747.9
ENSMUSG00000037509.22	ENSMUST00000047664.16
ENSMUSG00000118272.2	ENSMUST00000211073.2
ENSMUSG00000037503.13	ENSMUST00000167518.8
ENSMUSG00000037503.13	ENSMUST00000047534.12
ENSMUSG00000037503.13	ENSMUST00000170092.8
ENSMUSG00000037503.13	ENSMUST00000191307.7
ENSMUSG00000026123.12	ENSMUST00000156687.8
ENSMUSG00000026123.12	ENSMUST00000027297.11
ENSMUSG00000045216.8	ENSMUST00000088174.4
ENSMUSG00000037470.15	ENSMUST00000046875.14
ENSMUSG00000047180.9	ENSMUST00000056946.8
ENSMUSG00000047180.9	ENSMUST00000188666.3
ENSMUSG00000037447.17	ENSMUST00000097778.9
ENSMUSG00000037447.17	ENSMUST00000115031.8
ENSMUSG00000037447.17	ENSMUST00000115032.8
ENSMUSG00000037447.17	ENSMUST00000137906.2
ENSMUSG00000037447.17	ENSMUST00000115029.2
ENSMUSG00000010453.13	ENSMUST00000185912.7
ENSMUSG00000010453.13	ENSMUST00000010597.10
ENSMUSG00000010453.13	ENSMUST00000186470.2
ENSMUSG00000010453.13	ENSMUST00000187628.2
ENSMUSG00000037432.16	ENSMUST00000179162.7
ENSMUSG00000001143.14	ENSMUST00000125304.8
ENSMUSG00000001143.14	ENSMUST00000115011.8
ENSMUSG00000037408.11	ENSMUST00000153128.2
ENSMUSG00000001138.14	ENSMUST00000001166.14
ENSMUSG00000001138.14	ENSMUST00000097776.4
ENSMUSG00000067653.13	ENSMUST00000193083.6
ENSMUSG00000067653.13	ENSMUST00000054665.10
ENSMUSG00000067653.13	ENSMUST00000194853.3
ENSMUSG00000109510.2	ENSMUST00000191849.6
ENSMUSG00000079610.10	ENSMUST00000001172.12
ENSMUSG00000079610.10	ENSMUST00000194894.4
ENSMUSG00000026121.14	ENSMUST00000191677.6
ENSMUSG00000026121.14	ENSMUST00000191642.6
ENSMUSG00000026121.14	ENSMUST00000195620.6
ENSMUSG00000026121.14	ENSMUST00000114991.8
ENSMUSG00000046337.18	ENSMUST00000170295.8
ENSMUSG00000046337.18	ENSMUST00000114981.3
ENSMUSG00000061518.12	ENSMUST00000081180.7
ENSMUSG00000061518.12	ENSMUST00000193210.6
ENSMUSG00000037351.10	ENSMUST00000043951.10
ENSMUSG00000102416.5	ENSMUST00000208994.2
ENSMUSG00000026117.11	ENSMUST00000027291.7
ENSMUSG00000026116.12	ENSMUST00000027290.12
ENSMUSG00000026116.12	ENSMUST00000194563.6
ENSMUSG00000050122.20	ENSMUST00000117172.9
ENSMUSG00000050122.20	ENSMUST00000067178.14
ENSMUSG00000050122.20	ENSMUST00000238500.2
ENSMUSG00000050122.20	ENSMUST00000162449.7
ENSMUSG00000050122.20	ENSMUST00000169057.3
ENSMUSG00000026114.15	ENSMUST00000195272.6
ENSMUSG00000026114.15	ENSMUST00000194195.6
ENSMUSG00000026114.15	ENSMUST00000027288.10
ENSMUSG00000026113.18	ENSMUST00000027287.11
ENSMUSG00000026113.18	ENSMUST00000140264.8
ENSMUSG00000026113.18	ENSMUST00000132401.8
ENSMUSG00000026113.18	ENSMUST00000136846.8
ENSMUSG00000026113.18	ENSMUST00000132615.8
ENSMUSG00000026113.18	ENSMUST00000193774.6
ENSMUSG00000026113.18	ENSMUST00000137266.8
ENSMUSG00000026113.18	ENSMUST00000058307.15
ENSMUSG00000026113.18	ENSMUST00000114933.9
ENSMUSG00000026113.18	ENSMUST00000168546.3
ENSMUSG00000026112.8	ENSMUST00000027286.7
ENSMUSG00000026111.16	ENSMUST00000114925.10
ENSMUSG00000026111.16	ENSMUST00000027285.13
ENSMUSG00000026111.16	ENSMUST00000118059.3
ENSMUSG00000026110.16	ENSMUST00000042161.15
ENSMUSG00000026110.16	ENSMUST00000151952.8
ENSMUSG00000026110.16	ENSMUST00000154819.8
ENSMUSG00000026110.16	ENSMUST00000143636.8
ENSMUSG00000026090.17	ENSMUST00000162875.8
ENSMUSG00000060771.16	ENSMUST00000041815.15
ENSMUSG00000060771.16	ENSMUST00000114902.8
ENSMUSG00000060771.16	ENSMUST00000239367.2
ENSMUSG00000060771.16	ENSMUST00000088072.10
ENSMUSG00000060771.16	ENSMUST00000123082.9
ENSMUSG00000060771.16	ENSMUST00000155852.7
ENSMUSG00000060771.16	ENSMUST00000193669.2
ENSMUSG00000037216.6	ENSMUST00000041621.5
ENSMUSG00000026088.16	ENSMUST00000139725.8
ENSMUSG00000026088.16	ENSMUST00000027257.10
ENSMUSG00000026087.12	ENSMUST00000027256.12
ENSMUSG00000026087.12	ENSMUST00000193673.6
ENSMUSG00000026087.12	ENSMUST00000195373.2
ENSMUSG00000061584.7	ENSMUST00000078307.7
ENSMUSG00000026085.12	ENSMUST00000027254.10
ENSMUSG00000026085.12	ENSMUST00000114894.2
ENSMUSG00000058407.13	ENSMUST00000162031.8
ENSMUSG00000058407.13	ENSMUST00000193832.6
ENSMUSG00000058407.13	ENSMUST00000195247.6
ENSMUSG00000058407.13	ENSMUST00000192960.6
ENSMUSG00000058407.13	ENSMUST00000195032.6
ENSMUSG00000026083.13	ENSMUST00000027252.8
ENSMUSG00000026082.12	ENSMUST00000027251.12
ENSMUSG00000037138.19	ENSMUST00000095027.9
ENSMUSG00000037138.19	ENSMUST00000238906.2
ENSMUSG00000037138.19	ENSMUST00000039827.14
ENSMUSG00000048814.12	ENSMUST00000147695.9
ENSMUSG00000048814.12	ENSMUST00000039612.5
ENSMUSG00000026080.15	ENSMUST00000027249.13
ENSMUSG00000026080.15	ENSMUST00000193441.7
ENSMUSG00000026080.15	ENSMUST00000194361.7
ENSMUSG00000067604.9	ENSMUST00000088029.8
ENSMUSG00000026078.11	ENSMUST00000027247.11
ENSMUSG00000026077.16	ENSMUST00000056815.9
ENSMUSG00000073702.12	ENSMUST00000086535.12
ENSMUSG00000073702.12	ENSMUST00000194746.6
ENSMUSG00000073702.12	ENSMUST00000178079.8
ENSMUSG00000073702.12	ENSMUST00000179954.8
ENSMUSG00000073702.12	ENSMUST00000195123.6
ENSMUSG00000003134.11	ENSMUST00000054462.11
ENSMUSG00000003134.11	ENSMUST00000193823.2
ENSMUSG00000003135.16	ENSMUST00000161515.8
ENSMUSG00000003135.16	ENSMUST00000003219.14
ENSMUSG00000048234.14	ENSMUST00000062525.11
ENSMUSG00000048234.14	ENSMUST00000195705.2
ENSMUSG00000050967.6	ENSMUST00000053355.6
ENSMUSG00000057173.9	ENSMUST00000151913.3
ENSMUSG00000091937.4	ENSMUST00000171319.4
ENSMUSG00000026074.16	ENSMUST00000168431.7
ENSMUSG00000026074.16	ENSMUST00000163854.9
ENSMUSG00000026074.16	ENSMUST00000193682.6
ENSMUSG00000026074.16	ENSMUST00000195860.6
ENSMUSG00000026074.16	ENSMUST00000195259.6
ENSMUSG00000026074.16	ENSMUST00000195636.6
ENSMUSG00000026074.16	ENSMUST00000192509.6
ENSMUSG00000026073.14	ENSMUST00000027243.13
ENSMUSG00000026072.13	ENSMUST00000027241.11
ENSMUSG00000026072.13	ENSMUST00000114795.3
ENSMUSG00000070942.9	ENSMUST00000095020.9
ENSMUSG00000070942.9	ENSMUST00000194296.6
ENSMUSG00000026069.16	ENSMUST00000174335.8
ENSMUSG00000026069.16	ENSMUST00000097772.10
ENSMUSG00000026069.16	ENSMUST00000173514.8
ENSMUSG00000026069.16	ENSMUST00000053043.8
ENSMUSG00000026070.16	ENSMUST00000167723.8
ENSMUSG00000026070.16	ENSMUST00000193391.6
ENSMUSG00000026070.16	ENSMUST00000193793.6
ENSMUSG00000026070.16	ENSMUST00000087983.8
ENSMUSG00000026070.16	ENSMUST00000195684.6
ENSMUSG00000026070.16	ENSMUST00000108044.4
ENSMUSG00000026068.12	ENSMUST00000027237.12
ENSMUSG00000026065.9	ENSMUST00000027233.9
ENSMUSG00000026062.13	ENSMUST00000027231.13
ENSMUSG00000026062.13	ENSMUST00000192345.2
ENSMUSG00000041945.13	ENSMUST00000039672.6
ENSMUSG00000079588.4	ENSMUST00000114765.4
ENSMUSG00000045515.5	ENSMUST00000239323.2
ENSMUSG00000045515.5	ENSMUST00000054883.4
ENSMUSG00000060679.15	ENSMUST00000057208.13
ENSMUSG00000041907.10	ENSMUST00000179766.3
ENSMUSG00000041907.10	ENSMUST00000114761.2
ENSMUSG00000070939.10	ENSMUST00000095014.8
ENSMUSG00000070939.10	ENSMUST00000186694.7
ENSMUSG00000010290.8	ENSMUST00000010434.8
ENSMUSG00000008136.15	ENSMUST00000008280.14
ENSMUSG00000008136.15	ENSMUST00000185893.2
ENSMUSG00000066877.12	ENSMUST00000086421.9
ENSMUSG00000026051.9	ENSMUST00000027217.9
ENSMUSG00000057363.13	ENSMUST00000126008.8
ENSMUSG00000041763.15	ENSMUST00000087933.10
ENSMUSG00000041763.15	ENSMUST00000188313.7
ENSMUSG00000047343.5	ENSMUST00000061421.4
ENSMUSG00000091844.3	ENSMUST00000238662.2
ENSMUSG00000091844.3	ENSMUST00000168641.2
ENSMUSG00000026049.12	ENSMUST00000027215.12
ENSMUSG00000026049.12	ENSMUST00000156392.8
ENSMUSG00000026049.12	ENSMUST00000128190.8
ENSMUSG00000026049.12	ENSMUST00000147571.8
ENSMUSG00000026049.12	ENSMUST00000133677.8
ENSMUSG00000026049.12	ENSMUST00000150911.8
ENSMUSG00000026049.12	ENSMUST00000152239.8
ENSMUSG00000026047.14	ENSMUST00000065767.9
ENSMUSG00000026047.14	ENSMUST00000027213.14
ENSMUSG00000041684.12	ENSMUST00000035991.8
ENSMUSG00000041684.12	ENSMUST00000114709.3
ENSMUSG00000026048.17	ENSMUST00000027214.4
ENSMUSG00000046828.4	ENSMUST00000054801.4
ENSMUSG00000056870.10	ENSMUST00000074525.10
ENSMUSG00000056870.10	ENSMUST00000160854.8
ENSMUSG00000056870.10	ENSMUST00000162600.2
ENSMUSG00000026043.19	ENSMUST00000087883.13
ENSMUSG00000026042.17	ENSMUST00000086430.5
ENSMUSG00000025995.17	ENSMUST00000027139.15
ENSMUSG00000025993.11	ENSMUST00000027137.11
ENSMUSG00000041144.13	ENSMUST00000069293.10
ENSMUSG00000041144.13	ENSMUST00000238212.2
ENSMUSG00000101337.7	ENSMUST00000189749.7
ENSMUSG00000101337.7	ENSMUST00000178395.2
ENSMUSG00000025986.7	ENSMUST00000027131.6
ENSMUSG00000026109.15	ENSMUST00000114565.8
ENSMUSG00000026109.15	ENSMUST00000081851.4
ENSMUSG00000045954.8	ENSMUST00000051572.8
ENSMUSG00000026107.12	ENSMUST00000027279.12
ENSMUSG00000026107.12	ENSMUST00000186684.7
ENSMUSG00000026107.12	ENSMUST00000188204.7
ENSMUSG00000026107.12	ENSMUST00000188051.7
ENSMUSG00000026107.12	ENSMUST00000185534.2
ENSMUSG00000018417.15	ENSMUST00000046390.14
ENSMUSG00000018417.15	ENSMUST00000114537.9
ENSMUSG00000018417.15	ENSMUST00000114541.8
ENSMUSG00000018417.15	ENSMUST00000018561.14
ENSMUSG00000062939.12	ENSMUST00000168302.8
ENSMUSG00000062939.12	ENSMUST00000027277.7
ENSMUSG00000026104.15	ENSMUST00000186574.7
ENSMUSG00000026104.15	ENSMUST00000070968.14
ENSMUSG00000026104.15	ENSMUST00000191435.7
ENSMUSG00000026104.15	ENSMUST00000186857.7
ENSMUSG00000026104.15	ENSMUST00000189347.7
ENSMUSG00000026104.15	ENSMUST00000186057.7
ENSMUSG00000026103.15	ENSMUST00000114513.9
ENSMUSG00000026103.15	ENSMUST00000114512.8
ENSMUSG00000026103.15	ENSMUST00000114510.8
ENSMUSG00000002881.15	ENSMUST00000186764.7
ENSMUSG00000002881.15	ENSMUST00000069792.14
ENSMUSG00000002881.15	ENSMUST00000170269.2
ENSMUSG00000043015.16	ENSMUST00000165859.8
ENSMUSG00000041439.16	ENSMUST00000156876.8
ENSMUSG00000041439.16	ENSMUST00000087701.4
ENSMUSG00000026102.10	ENSMUST00000027271.9
ENSMUSG00000041426.13	ENSMUST00000159352.8
ENSMUSG00000041426.13	ENSMUST00000044478.7
ENSMUSG00000043629.13	ENSMUST00000050567.11
ENSMUSG00000043629.13	ENSMUST00000114492.8
ENSMUSG00000043629.13	ENSMUST00000114493.2
ENSMUSG00000043629.13	ENSMUST00000191441.2
ENSMUSG00000043629.13	ENSMUST00000190831.7
ENSMUSG00000043629.13	ENSMUST00000186266.2
ENSMUSG00000043629.13	ENSMUST00000190726.2
ENSMUSG00000026100.7	ENSMUST00000027269.7
ENSMUSG00000026100.7	ENSMUST00000191197.2
ENSMUSG00000060715.10	ENSMUST00000072235.10
ENSMUSG00000060715.10	ENSMUST00000190748.2
ENSMUSG00000026098.14	ENSMUST00000027267.14
ENSMUSG00000026097.10	ENSMUST00000027266.4
ENSMUSG00000100679.2	ENSMUST00000190734.2
ENSMUSG00000026096.15	ENSMUST00000027265.10
ENSMUSG00000026096.15	ENSMUST00000114484.8
ENSMUSG00000099913.2	ENSMUST00000144660.3
ENSMUSG00000026095.16	ENSMUST00000027264.10
ENSMUSG00000026095.16	ENSMUST00000123519.9
ENSMUSG00000117809.2	ENSMUST00000236737.2
ENSMUSG00000096141.3	ENSMUST00000094964.7
ENSMUSG00000026094.15	ENSMUST00000027263.14
ENSMUSG00000042807.16	ENSMUST00000120904.8
ENSMUSG00000042807.16	ENSMUST00000087659.11
ENSMUSG00000042807.16	ENSMUST00000097741.3
ENSMUSG00000025983.12	ENSMUST00000027128.11
ENSMUSG00000025983.12	ENSMUST00000163072.8
ENSMUSG00000041303.8	ENSMUST00000041638.8
ENSMUSG00000109809.2	ENSMUST00000210156.2
ENSMUSG00000073678.5	ENSMUST00000097739.5
ENSMUSG00000052331.15	ENSMUST00000179030.8
ENSMUSG00000052331.15	ENSMUST00000044359.16
ENSMUSG00000025982.14	ENSMUST00000027127.14
ENSMUSG00000025981.14	ENSMUST00000087617.11
ENSMUSG00000025981.14	ENSMUST00000027125.7
ENSMUSG00000025980.15	ENSMUST00000027123.15
ENSMUSG00000073676.5	ENSMUST00000075242.7
ENSMUSG00000025979.14	ENSMUST00000159311.8
ENSMUSG00000025979.14	ENSMUST00000162364.8
ENSMUSG00000025978.15	ENSMUST00000027121.15
ENSMUSG00000025978.15	ENSMUST00000114428.3
ENSMUSG00000046994.10	ENSMUST00000061334.10
ENSMUSG00000025977.16	ENSMUST00000114423.7
ENSMUSG00000025977.16	ENSMUST00000087585.10
ENSMUSG00000025977.16	ENSMUST00000159398.2
ENSMUSG00000038349.11	ENSMUST00000042986.10
ENSMUSG00000045336.6	ENSMUST00000062085.6
ENSMUSG00000038331.16	ENSMUST00000042857.14
ENSMUSG00000038331.16	ENSMUST00000114415.10
ENSMUSG00000038331.16	ENSMUST00000177424.2
