"Gene","Gene_length","Transcript","Exon","A3","A5","AF","AL","MX","RI","SE"
"ENSMUSG00000104237.2",5744,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000102930.2",2938,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000103603.2",991,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000086064.2",4505,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000089767.2",1113,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000097268.2",6089,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000087374.2",20540,1,6,"0","0","0","0","0","0","0"
"ENSMUSG00000103804.2",1010,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000102716.2",27809,1,6,"0","0","0","0","0","0","0"
"ENSMUSG00000085391.2",11246,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000085280.2",4028,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000087131.8",9025,2,7,"0","0","0","0","0","0","0"
"ENSMUSG00000103647.2",3318,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000104188.2",8989,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000085894.2",4432,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000097083.2",7206,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101634.7",8159,2,8,"0","0","0","0","0","0","0"
"ENSMUSG00000097899.3",9623,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000104441.2",8474,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000103679.2",6194,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000103270.2",13958,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000104072.2",13665,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100185.2",2612,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100832.2",157752,1,6,"0","0","0","0","0","0","0"
"ENSMUSG00000053640.3",1382,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101919.2",462,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101299.3",42557,1,7,"0","0","0","0","0","0","0"
"ENSMUSG00000100180.2",31347,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000060424.15",104060,5,16,"0","0","0","0","0","0","2"
"ENSMUSG00000093436.7",49866,2,2,"0","0","0","0","0","0","0"
"ENSMUSG00000097063.4",6393,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000099784.2",2169,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100269.2",867,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000041878.4",1247,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000099576.2",52769,1,6,"0","0","0","0","0","0","0"
"ENSMUSG00000100764.2",1934,2,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100635.2",611,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100480.2",498,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101104.7",19327,1,5,"0","0","0","0","0","0","0"
"ENSMUSG00000100769.2",1638,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000101701.2",5273,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100213.2",950,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101447.2",35610,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000051616.15",95827,1,5,"0","0","0","0","0","0","0"
"ENSMUSG00000099608.2",1492,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100451.2",527,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100816.2",2326,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100671.2",1474,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101242.2",2941,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099924.2",2272,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000099625.2",2527,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101799.2",115393,1,5,"0","0","0","0","0","0","0"
"ENSMUSG00000101702.2",999,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099413.2",89632,2,6,"0","0","0","0","0","0","0"
"ENSMUSG00000101741.2",50619,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101724.2",1278,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100313.2",2498,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101628.2",78826,1,25,"0","0","0","0","0","0","0"
"ENSMUSG00000109599.2",5630,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100120.2",59777,1,5,"0","0","0","0","0","0","0"
"ENSMUSG00000099878.2",10277,1,6,"0","0","0","0","0","0","0"
"ENSMUSG00000100302.2",2490,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100763.2",1582,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000101674.7",85795,2,7,"0","0","0","0","0","0","0"
"ENSMUSG00000097649.3",9371,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000099950.2",41087,1,6,"0","0","0","0","0","0","0"
"ENSMUSG00000100372.2",1225,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101332.2",2052,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000087022.5",78672,4,12,"0","0","0","1","0","0","0"
"ENSMUSG00000099945.2",2060,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101429.2",14348,1,7,"0","0","0","0","0","0","0"
"ENSMUSG00000097519.3",18322,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000091283.2",7276,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000089822.2",61539,1,6,"0","0","0","0","0","0","0"
"ENSMUSG00000085054.3",18082,2,11,"0","1","0","0","0","1","0"
"ENSMUSG00000047383.9",6416,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099752.2",45257,2,6,"0","0","0","0","0","0","0"
"ENSMUSG00000097573.3",2308,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101586.2",18273,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099922.2",13369,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000097819.2",4125,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099811.7",16530,2,5,"0","0","0","0","0","0","0"
"ENSMUSG00000101409.2",2418,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000086795.2",5169,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000085965.2",24947,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000100893.2",6223,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000085248.3",5837,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000085447.2",17472,1,5,"0","0","0","0","0","0","0"
"ENSMUSG00000086408.2",29374,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100965.2",1077,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000086009.2",4206,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000085842.8",84125,1,5,"0","0","0","0","0","0","0"
"ENSMUSG00000085019.3",4914,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000085400.2",42536,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100750.2",1451,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100811.2",3350,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100426.2",11015,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000084799.8",45212,3,8,"0","0","0","0","0","0","0"
"ENSMUSG00000101599.2",9719,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000086730.3",7654,2,4,"0","0","1","0","0","0","0"
"ENSMUSG00000087561.8",6272,1,5,"0","0","0","0","0","0","0"
"ENSMUSG00000044689.6",4272,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000086836.2",12128,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000101895.2",117052,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101832.2",8249,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000100437.2",2821,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000087213.3",10788,2,6,"0","0","0","0","0","0","0"
"ENSMUSG00000073656.5",6520,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000086204.2",74409,1,5,"0","0","0","0","0","0","0"
"ENSMUSG00000085075.2",12843,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000087329.4",1520,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000087514.2",14827,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099804.2",3028,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100354.2",3431,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101156.2",33775,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000100815.2",3486,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000099954.2",1874,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000073652.11",10006,2,7,"0","0","0","0","0","0","0"
"ENSMUSG00000099707.7",3092,3,7,"0","0","0","1","0","0","0"
"ENSMUSG00000101211.2",23057,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101848.2",46197,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000101764.2",55050,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000102123.2",14846,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000110712.2",1775,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000101968.7",40663,4,11,"0","0","0","1","0","0","0"
"ENSMUSG00000101112.2",37296,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000099877.7",16794,2,8,"0","0","0","0","0","0","0"
"ENSMUSG00000101812.2",31822,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100444.2",7695,3,8,"0","0","0","0","0","0","0"
"ENSMUSG00000100429.2",7412,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100301.7",246378,1,9,"0","0","0","0","0","0","0"
"ENSMUSG00000101344.2",91596,1,8,"0","0","0","0","0","0","0"
"ENSMUSG00000101503.2",705,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099931.2",3264,2,3,"0","0","0","0","0","0","0"
"ENSMUSG00000099472.2",2462,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000089964.2",29058,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000089653.2",5282,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000099519.2",13415,1,8,"0","0","0","0","0","0","0"
"ENSMUSG00000101840.2",5105,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100556.2",3047,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000085653.8",6800,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000086053.2",4232,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099996.2",2098,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000100827.2",107730,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100553.7",12895,1,5,"0","0","0","0","0","0","0"
"ENSMUSG00000100534.2",137320,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101849.2",1848,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000102052.2",29410,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000099561.2",14478,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000099364.3",16415,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100562.2",4620,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099706.2",432888,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000101324.2",1394,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099552.2",7354,2,5,"0","0","0","0","0","0","0"
"ENSMUSG00000101257.2",3748,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101722.2",3429,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101483.2",33935,2,6,"0","0","0","0","0","0","0"
"ENSMUSG00000100786.2",10253,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000097564.3",33241,2,6,"0","0","0","0","0","0","0"
"ENSMUSG00000101450.2",1016,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100170.2",542,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100580.7",252094,2,12,"0","0","0","0","0","0","0"
"ENSMUSG00000073631.3",1562,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000072109.12",8089,1,6,"0","0","0","0","0","0","0"
"ENSMUSG00000090252.2",8614,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000091199.11",18626,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000089652.2",15886,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000089714.2",16028,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000090103.2",553,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000073628.6",7811,2,4,"0","0","0","0","0","0","0"
"ENSMUSG00000090246.2",9363,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100217.2",9423,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000099767.2",4085,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100108.2",14552,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000087538.2",25866,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000099644.2",864,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000073627.8",14217,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100768.2",1709,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000099401.2",128209,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000101625.2",16247,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099839.2",4109,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000089821.2",693,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101942.2",952,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000092220.2",163191,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000085420.2",5441,1,5,"0","0","0","0","0","0","0"
"ENSMUSG00000099553.2",18639,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100908.2",5875,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100798.2",10650,1,6,"0","0","0","0","0","0","0"
"ENSMUSG00000100367.2",1792,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000097398.3",846,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000099848.2",6935,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099378.2",6097,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000101288.2",55425,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000099938.2",45791,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000101662.2",7837,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000102009.7",33379,2,8,"0","0","0","0","0","0","0"
"ENSMUSG00000092627.3",3056,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100850.2",5834,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101951.2",4844,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101028.2",3454,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101997.2",1107,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000056128.4",4632,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100791.2",801,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000090322.2",16009,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100253.2",1150,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100151.2",1750,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101705.2",13094,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100980.2",4409,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101414.2",1470,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101265.2",5378,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000097001.2",375,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100546.2",2968,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099665.2",1267,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100781.2",16938,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101995.2",6594,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000097251.3",2386,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100632.2",17064,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101378.2",1172,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101172.2",11345,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100927.2",1316,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101952.2",19968,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100518.2",5389,2,9,"0","0","0","0","0","0","0"
"ENSMUSG00000100777.2",15334,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000100062.2",31099,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100336.2",13644,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100589.2",50516,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000097814.6",36670,2,6,"0","0","0","1","0","0","0"
"ENSMUSG00000100454.2",1049,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000089706.8",26564,3,9,"0","0","0","0","0","0","0"
"ENSMUSG00000100182.7",13199,2,6,"0","0","0","0","0","0","0"
"ENSMUSG00000100711.2",17050,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000100009.7",17867,3,8,"0","0","0","0","0","0","0"
"ENSMUSG00000100684.2",19393,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000099375.2",2133,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000089866.2",902,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099669.2",10912,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000097482.3",5730,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101214.2",186879,1,6,"0","0","0","0","0","0","0"
"ENSMUSG00000100672.2",452,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000099843.2",10932,2,4,"0","0","0","0","0","0","0"
"ENSMUSG00000101583.2",18899,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100247.2",1809,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000054006.15",33102,2,7,"0","0","0","0","0","0","0"
"ENSMUSG00000087210.2",2212,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000086161.2",6506,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100457.7",111078,3,9,"0","0","0","0","0","0","0"
"ENSMUSG00000101253.2",60955,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101453.2",1025,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000097648.2",72749,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000107979.2",2606,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000099936.2",6137,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000107722.2",615,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000097408.2",1379,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000099860.2",21487,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000101179.2",56381,2,5,"0","0","0","0","0","0","0"
"ENSMUSG00000098447.3",6269,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000101731.2",6685,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000101224.2",3767,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000101275.2",2650,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099957.5",68663,1,7,"0","0","0","0","0","0","0"
"ENSMUSG00000101386.2",5122,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101922.2",20497,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000099336.2",9497,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100979.2",1336,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000097881.8",91036,3,10,"0","0","0","0","0","0","0"
"ENSMUSG00000101700.2",3250,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101791.2",4784,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000085857.2",3907,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099960.2",47035,1,6,"0","0","0","0","0","0","0"
"ENSMUSG00000099574.2",7173,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000102063.2",2831,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101600.2",4412,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000102014.2",20476,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099760.2",7936,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000097283.2",3822,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000086633.2",11308,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000087691.2",15090,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000086825.2",7410,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000085526.2",94499,1,5,"0","0","0","0","0","0","0"
"ENSMUSG00000099556.2",1165,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100106.2",18049,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000086706.8",14107,2,7,"0","0","0","0","0","0","0"
"ENSMUSG00000102027.2",1046,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000102055.2",3419,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101778.2",2401,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100037.2",51532,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000099874.2",3296,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101549.2",5695,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000100658.2",7603,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000090079.2",1380,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000097760.3",10631,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101126.2",3471,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000101102.2",18277,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000101693.2",19410,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000100830.2",3183,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000090208.2",8291,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100987.2",9776,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101061.2",3969,1,2,"0","0","0","0","0","0","0"
