ENSG00000186092.7	ENST00000641515.2
ENSG00000162441.12	ENST00000377223.6
ENSG00000162441.12	ENST00000400903.6
ENSG00000162441.12	ENST00000377213.1
ENSG00000173614.14	ENST00000403197.5
ENSG00000173614.14	ENST00000377205.6
ENSG00000162444.12	ENST00000294435.8
ENSG00000130939.20	ENST00000253251.12
ENSG00000130939.20	ENST00000672724.1
ENSG00000130939.20	ENST00000343090.11
ENSG00000130939.20	ENST00000377153.5
ENSG00000054523.19	ENST00000377093.9
ENSG00000054523.19	ENST00000676179.1
ENSG00000054523.19	ENST00000263934.10
ENSG00000054523.19	ENST00000377086.5
ENSG00000054523.19	ENST00000377083.5
ENSG00000054523.19	ENST00000377081.5
ENSG00000054523.19	ENST00000620295.2
ENSG00000054523.19	ENST00000622724.3
ENSG00000142657.21	ENST00000270776.13
ENSG00000251503.8	ENST00000400900.6
ENSG00000251503.8	ENST00000470413.6
ENSG00000251503.8	ENST00000602787.6
ENSG00000251503.8	ENST00000602296.6
ENSG00000251503.8	ENST00000465026.1
ENSG00000175279.22	ENST00000309048.8
ENSG00000175279.22	ENST00000462462.1
ENSG00000241563.4	ENST00000377049.4
ENSG00000160049.12	ENST00000377038.8
ENSG00000160049.12	ENST00000377036.2
ENSG00000142655.13	ENST00000356607.9
ENSG00000130940.15	ENST00000377022.8
ENSG00000130940.15	ENST00000344008.5
ENSG00000175262.14	ENST00000377004.8
ENSG00000120948.19	ENST00000639083.1
ENSG00000120948.19	ENST00000629725.2
ENSG00000120948.19	ENST00000240185.8
ENSG00000120948.19	ENST00000315091.7
ENSG00000120948.19	ENST00000649624.1
ENSG00000120948.19	ENST00000616545.4
ENSG00000120948.19	ENST00000621790.4
ENSG00000009724.17	ENST00000400897.8
ENSG00000009724.17	ENST00000400898.3
ENSG00000116649.10	ENST00000376957.7
ENSG00000171824.14	ENST00000304457.11
ENSG00000171824.14	ENST00000376936.9
ENSG00000198793.13	ENST00000376838.5
ENSG00000198793.13	ENST00000361445.9
ENSG00000171819.5	ENST00000376819.4
ENSG00000120942.14	ENST00000376810.6
ENSG00000120942.14	ENST00000376804.2
ENSG00000204624.8	ENST00000294484.7
ENSG00000204624.8	ENST00000304391.6
ENSG00000116661.11	ENST00000354287.5
ENSG00000132879.14	ENST00000251546.8
ENSG00000132879.14	ENST00000376770.5
ENSG00000132879.14	ENST00000251547.10
ENSG00000132879.14	ENST00000376768.5
ENSG00000132879.14	ENST00000376760.5
ENSG00000132879.14	ENST00000376762.8
ENSG00000116663.11	ENST00000376753.9
ENSG00000116670.15	ENST00000376692.9
ENSG00000116670.15	ENST00000235310.7
ENSG00000116670.15	ENST00000376672.5
ENSG00000116670.15	ENST00000376669.9
ENSG00000116670.15	ENST00000376667.7
ENSG00000162490.7	ENST00000294485.6
ENSG00000177674.16	ENST00000376637.7
ENSG00000177674.16	ENST00000400895.6
ENSG00000177674.16	ENST00000314340.10
ENSG00000177674.16	ENST00000376629.8
ENSG00000177674.16	ENST00000376627.6
ENSG00000177674.16	ENST00000452018.6
ENSG00000177674.16	ENST00000510878.1
ENSG00000215910.7	ENST00000433342.5
ENSG00000177000.13	ENST00000376592.6
ENSG00000177000.13	ENST00000376590.9
ENSG00000177000.13	ENST00000376583.7
ENSG00000177000.13	ENST00000376585.6
ENSG00000177000.13	ENST00000423400.7
ENSG00000177000.13	ENST00000641407.1
ENSG00000177000.13	ENST00000641820.1
ENSG00000011021.23	ENST00000312413.10
ENSG00000011021.23	ENST00000346436.11
ENSG00000011021.23	ENST00000376496.4
ENSG00000175206.10	ENST00000376480.7
ENSG00000175206.10	ENST00000610706.1
ENSG00000175206.10	ENST00000376476.1
ENSG00000120937.9	ENST00000376468.4
ENSG00000116685.16	ENST00000376572.8
ENSG00000116685.16	ENST00000616327.1
ENSG00000116685.16	ENST00000376576.3
ENSG00000083444.17	ENST00000196061.5
ENSG00000116688.18	ENST00000444836.5
ENSG00000116688.18	ENST00000674817.1
ENSG00000116688.18	ENST00000675053.1
ENSG00000116688.18	ENST00000675817.1
ENSG00000116688.18	ENST00000675298.1
ENSG00000116688.18	ENST00000674548.1
ENSG00000116688.18	ENST00000674658.1
ENSG00000116688.18	ENST00000674910.1
ENSG00000116688.18	ENST00000675231.1
ENSG00000116688.18	ENST00000675113.1
ENSG00000116688.18	ENST00000235329.10
ENSG00000116688.18	ENST00000676293.1
ENSG00000116688.18	ENST00000675919.1
ENSG00000116691.11	ENST00000235332.6
ENSG00000120949.15	ENST00000263932.7
ENSG00000120949.15	ENST00000417814.3
ENSG00000120949.15	ENST00000413146.6
ENSG00000028137.19	ENST00000376259.7
ENSG00000028137.19	ENST00000536782.2
ENSG00000048707.15	ENST00000620676.6
ENSG00000048707.15	ENST00000613099.4
ENSG00000048707.15	ENST00000543766.2
ENSG00000162496.9	ENST00000616661.5
ENSG00000204518.3	ENST00000376221.2
ENSG00000188984.12	ENST00000359318.8
ENSG00000157330.10	ENST00000614859.5
ENSG00000157330.10	ENST00000376210.3
ENSG00000116726.5	ENST00000357726.5
ENSG00000116721.9	ENST00000332296.7
ENSG00000239810.3	ENST00000619922.1
ENSG00000179172.10	ENST00000317869.7
ENSG00000120952.4	ENST00000240189.2
ENSG00000243073.4	ENST00000235349.6
ENSG00000187545.5	ENST00000235347.4
ENSG00000204510.5	ENST00000616979.4
ENSG00000204510.5	ENST00000330881.6
ENSG00000232423.6	ENST00000415464.6
ENSG00000232423.6	ENST00000376189.5
ENSG00000274764.6	ENST00000436041.6
ENSG00000277058.3	ENST00000617807.3
ENSG00000277058.3	ENST00000681473.1
ENSG00000229571.7	ENST00000614839.4
ENSG00000229571.7	ENST00000619661.2
ENSG00000275774.3	ENST00000621994.3
ENSG00000280267.4	ENST00000624207.1
ENSG00000179412.11	ENST00000323770.8
ENSG00000204505.5	ENST00000415919.3
ENSG00000279169.3	ENST00000625019.3
ENSG00000279169.3	ENST00000638454.1
ENSG00000279804.2	ENST00000624297.2
ENSG00000270601.4	ENST00000622421.2
ENSG00000182330.10	ENST00000357367.6
ENSG00000182330.10	ENST00000621519.4
ENSG00000182330.10	ENST00000614831.1
ENSG00000237700.2	ENST00000437300.2
ENSG00000204501.7	ENST00000376152.2
ENSG00000204481.8	ENST00000334600.7
ENSG00000204480.8	ENST00000376101.3
ENSG00000204479.4	ENST00000376098.4
ENSG00000204478.10	ENST00000602960.1
ENSG00000162494.6	ENST00000376085.4
ENSG00000162493.17	ENST00000294489.10
ENSG00000162493.17	ENST00000376057.8
ENSG00000162493.17	ENST00000621990.5
ENSG00000162493.17	ENST00000510906.5
ENSG00000162493.17	ENST00000509009.5
ENSG00000162493.17	ENST00000376061.8
ENSG00000162493.17	ENST00000513143.5
ENSG00000162493.17	ENST00000487038.5
ENSG00000162493.17	ENST00000475043.5
ENSG00000116731.22	ENST00000376048.9
ENSG00000116731.22	ENST00000311066.9
ENSG00000116731.22	ENST00000235372.11
ENSG00000116731.22	ENST00000413440.5
ENSG00000116731.22	ENST00000343137.8
ENSG00000116731.22	ENST00000503842.5
ENSG00000116731.22	ENST00000505823.5
ENSG00000189337.17	ENST00000636564.1
ENSG00000189337.17	ENST00000636203.1
ENSG00000189337.17	ENST00000376030.7
ENSG00000189337.17	ENST00000503743.5
ENSG00000189337.17	ENST00000361144.9
ENSG00000189337.17	ENST00000400798.6
ENSG00000189337.17	ENST00000400797.3
ENSG00000171729.14	ENST00000428417.5
ENSG00000171729.14	ENST00000376014.7
ENSG00000171729.14	ENST00000400796.7
ENSG00000171729.14	ENST00000376008.3
ENSG00000171729.14	ENST00000434578.6
ENSG00000142621.20	ENST00000683790.1
ENSG00000142621.20	ENST00000358897.8
ENSG00000142621.20	ENST00000375998.8
ENSG00000142621.20	ENST00000375997.8
ENSG00000142621.20	ENST00000375995.3
ENSG00000142634.13	ENST00000375980.9
ENSG00000162438.12	ENST00000375943.6
ENSG00000162438.12	ENST00000375949.5
ENSG00000142615.8	ENST00000359621.5
ENSG00000215704.10	ENST00000375910.8
ENSG00000132906.18	ENST00000546424.5
ENSG00000132906.18	ENST00000333868.10
ENSG00000132906.18	ENST00000348549.9
ENSG00000132906.18	ENST00000375890.8
ENSG00000116138.13	ENST00000375838.5
ENSG00000116138.13	ENST00000616884.4
ENSG00000116138.13	ENST00000375849.5
ENSG00000116138.13	ENST00000375847.8
ENSG00000116771.6	ENST00000375826.4
ENSG00000197312.12	ENST00000480945.6
ENSG00000215695.1	ENST00000345034.1
ENSG00000116786.13	ENST00000375799.8
ENSG00000116786.13	ENST00000375793.2
ENSG00000116786.13	ENST00000642363.1
ENSG00000162461.8	ENST00000294454.6
ENSG00000162460.7	ENST00000375782.2
ENSG00000162458.13	ENST00000375771.5
ENSG00000162458.13	ENST00000375766.8
ENSG00000162458.13	ENST00000441801.6
ENSG00000162458.13	ENST00000332305.5
ENSG00000233954.6	ENST00000483273.2
ENSG00000065526.12	ENST00000375759.8
ENSG00000116809.12	ENST00000375743.9
ENSG00000116809.12	ENST00000537142.5
ENSG00000116809.12	ENST00000375733.6
ENSG00000183888.4	ENST00000329454.2
ENSG00000173641.18	ENST00000411503.5
ENSG00000173641.18	ENST00000375718.4
ENSG00000173641.18	ENST00000311890.14
ENSG00000173641.18	ENST00000487046.1
ENSG00000173641.18	ENST00000406363.2
ENSG00000186510.12	ENST00000375692.5
ENSG00000186510.12	ENST00000439316.6
ENSG00000186510.12	ENST00000331433.5
ENSG00000184908.19	ENST00000684324.1
ENSG00000184908.19	ENST00000684545.1
ENSG00000184908.19	ENST00000683578.1
ENSG00000184908.19	ENST00000682338.1
ENSG00000184908.19	ENST00000682793.1
ENSG00000184908.19	ENST00000619181.4
ENSG00000184908.19	ENST00000375679.9
ENSG00000184908.19	ENST00000375667.7
ENSG00000185519.9	ENST00000375662.5
ENSG00000142627.13	ENST00000358432.8
ENSG00000142632.17	ENST00000270747.8
ENSG00000132881.12	ENST00000375599.8
ENSG00000037637.11	ENST00000375592.8
ENSG00000055070.17	ENST00000471507.5
ENSG00000055070.17	ENST00000401089.3
ENSG00000055070.17	ENST00000401088.9
ENSG00000055070.17	ENST00000492354.1
ENSG00000187144.11	ENST00000335496.5
ENSG00000187144.11	ENST00000540400.1
ENSG00000187144.11	ENST00000375577.5
ENSG00000187144.11	ENST00000612240.1
ENSG00000157191.20	ENST00000504551.6
ENSG00000157191.20	ENST00000457722.6
ENSG00000157191.20	ENST00000337132.10
ENSG00000157191.20	ENST00000443980.6
ENSG00000219481.10	ENST00000430580.6
ENSG00000219481.10	ENST00000432949.5
ENSG00000058453.17	ENST00000375541.10
ENSG00000117122.14	ENST00000375534.7
ENSG00000117122.14	ENST00000375535.4
ENSG00000159363.19	ENST00000341676.9
ENSG00000159363.19	ENST00000326735.13
ENSG00000159363.19	ENST00000452699.5
ENSG00000288636.1	ENST00000617114.5
ENSG00000117118.10	ENST00000375499.8
ENSG00000117115.13	ENST00000375486.9
ENSG00000117115.13	ENST00000375481.1
ENSG00000142623.11	ENST00000375471.5
ENSG00000142619.4	ENST00000375460.3
ENSG00000159339.13	ENST00000375453.5
ENSG00000159339.13	ENST00000375448.4
ENSG00000276747.1	ENST00000619609.1
ENSG00000179051.14	ENST00000375436.9
ENSG00000179051.14	ENST00000375433.3
ENSG00000074964.17	ENST00000361221.8
ENSG00000074964.17	ENST00000375415.5
ENSG00000074964.17	ENST00000375408.7
ENSG00000117148.8	ENST00000375406.2
ENSG00000117148.8	ENST00000617065.1
ENSG00000117154.12	ENST00000251296.4
ENSG00000179023.9	ENST00000400664.3
ENSG00000009709.12	ENST00000420770.7
ENSG00000009709.12	ENST00000375375.7
ENSG00000009709.12	ENST00000400661.3
ENSG00000179002.5	ENST00000375371.3
ENSG00000159423.17	ENST00000290597.9
ENSG00000159423.17	ENST00000375341.8
ENSG00000159423.17	ENST00000538839.5
ENSG00000159423.17	ENST00000538309.5
ENSG00000169991.11	ENST00000455833.7
ENSG00000127481.15	ENST00000375225.7
ENSG00000127481.15	ENST00000375254.8
ENSG00000127481.15	ENST00000375224.1
ENSG00000127481.15	ENST00000375218.3
ENSG00000127463.15	ENST00000477853.6
ENSG00000127463.15	ENST00000375199.7
ENSG00000127463.15	ENST00000375208.7
ENSG00000053372.5	ENST00000330263.5
ENSG00000211454.15	ENST00000420396.3
ENSG00000162482.5	ENST00000361640.5
ENSG00000053371.13	ENST00000235835.8
ENSG00000040487.13	ENST00000375155.7
ENSG00000040487.13	ENST00000375153.8
ENSG00000040487.13	ENST00000400548.6
ENSG00000077549.19	ENST00000264202.8
ENSG00000077549.19	ENST00000264203.7
ENSG00000077549.19	ENST00000375142.5
ENSG00000077549.19	ENST00000375144.6
